,0
3108,0.027277538271538726
9533,0.027072714504956356
34828,0.02704593937835781
9114,0.026883075533182733
3621,0.025847898158979695
31424,0.02564751557368035
12599,0.025582144623237026
3346,0.025399545922081233
19296,0.025273610432648377
115,0.02511705160049147
22634,0.024994568897515536
3099,0.02476470779007015
10271,0.0246079103718639
11019,0.023989676135957205
17050,0.02393138273678334
6977,0.023863358195083187
26503,0.02379994194313395
1569,0.023682165852360992
24404,0.023600809785272854
36900,0.02351126178541203
41080,0.023420820469274916
29599,0.023356466173881117
9682,0.02322990856060812
33347,0.02320206794644483
10435,0.023162777400777046
37299,0.02308771979873382
14029,0.02307383122968376
9639,0.023033365537852728
28461,0.02286511679649477
3661,0.02282030538744475
12435,0.022815021415013917
9077,0.02280696098958096
11386,0.02280431305295631
28437,0.022793890889711208
24176,0.022622525929184744
7850,0.022586965767877224
19369,0.022396665734879345
10205,0.021855855423920156
1749,0.02184618551848031
2029,0.021757462861077635
8487,0.02174573386629695
12219,0.021734857034109493
27009,0.02171595316169859
13371,0.021691804577288497
39165,0.02165969868691633
25278,0.021654689244953097
21561,0.021605815768088187
9683,0.021592059040051334
8608,0.02159110910168394
32122,0.02153564443932992
12214,0.02153464314573435
13047,0.021502222705964604
15485,0.021498998056987878
9434,0.021485417673899006
14406,0.021403334718958708
9321,0.021367018571032133
36976,0.021298159660221996
21417,0.02128292443675234
4340,0.02128235386843784
10886,0.02118999044132186
4401,0.02112755065774405
28779,0.021112950830412
2087,0.021071063211857175
1286,0.02102523201431411
37930,0.021009464545860314
39455,0.02099829309431304
5163,0.020966058367129056
33237,0.020884471876946482
14200,0.020858792270252856
2031,0.02084244186855048
12577,0.020820273138630618
19270,0.020803181985397965
36102,0.020765262143013333
11852,0.020744487353171776
4515,0.020602793641446432
17149,0.02057688680596284
10591,0.020561196990760856
41341,0.02054640020378402
38785,0.020490941844814006
13875,0.02048498679445032
16005,0.02045210552437334
29778,0.02044228290946808
29492,0.020401080808080726
4623,0.020371476807557725
3069,0.020351848479806846
5114,0.02034474118226435
7961,0.020328217090539377
27627,0.020298658074948413
5369,0.020269733796820937
28156,0.020239467665348045
916,0.020206181803256486
21208,0.02014878575945786
19109,0.020131689003809596
10150,0.020119217214331905
38588,0.02005886922715253
33761,0.020023676391036967
40575,0.02000192329284121
13220,0.02000031962947558
5642,0.019953481322438064
6744,0.019933490059386074
43267,0.019929027009056712
12254,0.01990095756715306
17525,0.0198118334102826
16474,0.019742407856454952
13404,0.019734915732348545
15757,0.019729524823382444
5522,0.019701663372493572
12618,0.01969586983178926
13071,0.019643087307011437
41620,0.019595029466245244
11734,0.019591601841772405
29708,0.019586542029229267
15172,0.019550275765273534
3351,0.019548490824178814
36060,0.019530267360488372
11145,0.019528489305061892
19301,0.019518457469457164
37957,0.019502963220838197
35710,0.0194794422017481
10796,0.019469693638077865
1557,0.01935565031639416
5160,0.019291229389517772
40322,0.019266048252357785
8993,0.019233290657594566
37681,0.019213801762895694
1257,0.019204246905147045
23760,0.019198250256149327
9339,0.019184532391017306
17188,0.019152879173559702
28636,0.019146954160639156
27744,0.01914461025406379
9498,0.019133300032640257
14704,0.01912873871601343
26276,0.019118369754886764
8091,0.019108503363965974
15814,0.0190179705647998
25490,0.01900561454184868
4619,0.01900474667856348
14157,0.018952597836009062
32783,0.01884409265985773
29203,0.018832010920009322
28675,0.018774687695483995
8259,0.018750186259975484
33562,0.01872137104415614
3803,0.01871131262589198
671,0.01870406829758801
35411,0.018673757060220002
27754,0.018671406487208816
22488,0.018627995017272442
41364,0.018626342360312086
32777,0.018587085918881016
19067,0.018569789543074814
28576,0.01854730504737963
6080,0.018527930435052044
20253,0.018506373040622304
16077,0.01847541235202541
12617,0.0184712490132202
40301,0.018415636100920462
7436,0.018360970295057507
6835,0.01834202191251129
3343,0.018324022651143235
9670,0.018316408356967708
340,0.018313360195940227
5309,0.01830132873395787
42013,0.018279908427366123
1480,0.01825670377496862
11611,0.018237103004499485
975,0.018218932271083798
6608,0.01821210018874249
15280,0.018198502500180975
4385,0.018133701891019465
27903,0.01812846147491849
12460,0.018108799034523365
40607,0.01810132096735392
5455,0.018064555399850614
9317,0.018018532547666454
9630,0.017946179106344315
14059,0.017944959260153114
15164,0.01792584934055446
15988,0.017918035490545492
9635,0.01789607174245687
8121,0.017823395344565812
7947,0.017795404333566984
33655,0.01779432095141917
4389,0.017786382215677382
25021,0.017769897413521515
16475,0.017715886161114486
10807,0.01769422940612052
9883,0.017693847817391358
79,0.01764671332537698
39910,0.017631602923890464
14327,0.017624554790131194
31564,0.017609618772042784
37958,0.017605373591083363
11446,0.01760052619948774
39834,0.017580642224925128
29427,0.017579384281951414
25546,0.017530600887300248
2243,0.017516776434623255
25093,0.017509564856929394
