sample_id,gmm_k4
ERR2209858,0
ERR2209859,3
ERR2209860,3
ERR2209861,3
ERR2209862,3
ERR2209863,3
ERR2209864,3
ERR2209865,3
ERR2209866,3
ERR2209867,3
ERR2209868,3
ERR2209869,2
ERR2209870,3
ERR2209871,1
ERR2209872,3
ERR2209873,3
ERR2209874,3
ERR2209875,3
ERR2209876,3
ERR2209877,3
ERR2209878,3
ERR2209879,3
ERR2209880,3
ERR2209881,3
ERR2209882,3
ERR2209883,1
ERR2209884,3
ERR2209885,1
ERR2209886,0
ERR2209887,3
ERR2209888,3
ERR2209889,3
ERR2209890,3
ERR2209891,3
ERR2209892,3
ERR2209893,1
ERR2209894,3
ERR2209895,1
ERR2209896,1
ERR2209897,1
ERR2209898,3
ERR2209899,3
ERR2209900,3
ERR2209901,3
ERR2209902,3
ERR2209903,3
ERR2209904,3
ERR2209905,3
ERR2209906,3
ERR2209907,3
ERR2209908,3
ERR2209909,3
ERR2209910,1
ERR2209911,3
ERR2209912,1
ERR2209913,3
ERR2209914,3
ERR2209915,3
ERR2209916,3
ERR2209917,3
ERR2209918,3
ERR2209919,1
ERR2209920,3
ERR2209921,3
ERR2209922,3
ERR2209923,3
ERR2209924,3
ERR2209925,3
ERR2209926,3
ERR2209927,2
ERR2209928,1
ERR2209929,3
ERR2209930,3
ERR2209931,3
ERR2209932,1
