,0
4049,0.05591940652967909
12618,0.05456193340157463
29735,0.05421189426462992
16167,0.05290082273485941
7717,0.052497685701150244
2647,0.05160959729726901
8334,0.0515865136579214
7278,0.05130273714990879
1561,0.05061181649702561
11123,0.050068729062769414
11611,0.04876221291591403
9738,0.04863758243868177
989,0.0485029447540636
32303,0.04842593200317078
19049,0.047470672064617525
6847,0.04738276496486039
6393,0.04714799856353559
21208,0.04652918231688947
6608,0.04648792018755146
4169,0.04605464815542608
7614,0.04603459749701666
8642,0.045715562388447865
2881,0.04550223802843314
9812,0.044800412388596667
34982,0.04469408923558219
17183,0.04439705362802978
33874,0.04427809277718496
410,0.04402199582782591
12239,0.0439405189350535
6027,0.043745295545195684
500,0.0437442950934116
946,0.043667943735109224
6470,0.043576114215691936
3612,0.043227257642285036
5248,0.0431015752551331
10205,0.04301542697903677
7206,0.042955637227583866
17171,0.04286934506907913
11741,0.04284382387533747
11837,0.04267803439930041
7274,0.04256448694488197
9498,0.04236509857947776
6238,0.042161384625597854
6778,0.0419634546453833
658,0.041928985193982984
1688,0.04190881182186021
2557,0.041855622335568284
7487,0.04150652211677819
348,0.04147545318873935
29699,0.04145756874497814
14018,0.041445462013786655
6460,0.04139384455495081
2374,0.04124442530403734
2462,0.04115619060925928
6862,0.041060245057818474
14530,0.04104155110590857
8786,0.04099893475872181
4074,0.04088138750702326
36464,0.04072794988147848
16336,0.04071431576245062
3268,0.04069491680917254
12394,0.04067493169569727
9062,0.04039571073801733
607,0.040325019857094024
14553,0.040254616546361956
6868,0.0402310750893253
1970,0.040164173500374135
4468,0.040143219090230026
38468,0.04014248226437354
1010,0.040117714242684496
1025,0.04003864890005062
2074,0.03998949507962814
12303,0.039842133918722
13371,0.03968904185076664
10271,0.03953172069491427
2643,0.03944829460547338
3193,0.03929151079641727
28503,0.039276343305126915
3850,0.03918546985181424
40684,0.039176730506059354
9153,0.03917398974850957
28696,0.038984083227499675
38847,0.038963401126458824
4112,0.03894303137519764
16027,0.038938159709221806
8220,0.03890237148806295
3825,0.038894312557772454
575,0.03888893914274274
11955,0.038863753362462776
8994,0.03882751739735773
13433,0.03876393280950908
22591,0.038663019102449445
6408,0.038569135994683375
11360,0.03847164472642953
961,0.0383586163070041
10866,0.0383383244097787
15014,0.03825332852275438
15245,0.0382313468902479
4073,0.03818209101320073
3784,0.038174140875284056
14514,0.03799806953378243
3062,0.0379952613786029
3343,0.037878390463966745
39795,0.03775715737356127
19383,0.03768318561115885
12263,0.037655641234251115
4840,0.037606461571835115
8446,0.03758396803206396
16315,0.037555083862334464
3342,0.03752649061034226
14340,0.03740081464375835
733,0.03738665015975703
7444,0.0373754859915529
9533,0.03736816537190294
6130,0.03736789443325151
18952,0.03710102464411287
12219,0.037085132452881094
5114,0.03708439575443226
7393,0.037077666842268306
8608,0.0370033544147855
10358,0.03688119191327284
12701,0.03686496460853983
1605,0.03671989481323022
1193,0.03669239207883041
16875,0.03666935869913685
14367,0.03665575703372035
2352,0.03664953053522742
7538,0.036533542698806515
19055,0.03650979036262421
9800,0.03650076913076
5375,0.03648340499369704
35075,0.03631098309750321
13215,0.03628119176456579
6893,0.03623961248120461
3344,0.03601658818675363
27868,0.035939768400549355
11019,0.03593670244287379
16660,0.035929854285235374
22726,0.03587206200197345
6550,0.03585043896289407
6235,0.03560188836434758
16924,0.03559813206807743
25967,0.0355886013080798
12500,0.035546515209678005
9994,0.035461971116881735
7163,0.03545497529873493
11211,0.03545167092703445
21713,0.035434223377655075
15629,0.035305679509528946
40836,0.03521563173884707
6821,0.035109041817497265
23214,0.03485204872175233
4522,0.034790410710818315
16361,0.03476137633963467
39272,0.034689771740019894
33990,0.03465967942797044
26056,0.034651016188081724
8607,0.03461475846388737
15477,0.034571854779251183
7947,0.034547403670263294
14888,0.03450378593214306
13994,0.03449991097892253
13276,0.03447007744251672
8396,0.03444547115636252
15736,0.03442791935732829
4449,0.03435991931607374
15133,0.03429506993995581
5686,0.03424058233551824
17172,0.0341790622088631
6916,0.03417045279956622
16601,0.03416553413511029
8082,0.034157859485180624
5414,0.034076413721395485
3932,0.03406009440422322
37427,0.03402827161097055
11907,0.03400849548515123
4140,0.03388964277096807
31227,0.03386316647496871
15160,0.0337441733650201
1948,0.03366037194305693
32622,0.03365675730337863
14426,0.033628894331806984
4466,0.03356875610419209
17057,0.03350566173170642
8038,0.033470307990730815
5050,0.03336810328750602
20577,0.033325826004126646
1946,0.03332411923415976
38370,0.033295183748690615
6977,0.03327199168377346
26764,0.03321608645551218
12005,0.033162964961118965
15179,0.03310119216647094
876,0.03309831585123365
12413,0.03305952785930171
276,0.03303225113093996
36715,0.03302306196995217
10197,0.03300661792189418
15472,0.03299674517381612
12155,0.03297992082464495
15601,0.032801112129454704
25571,0.032797302264603936
4576,0.03275605019353419
1823,0.03266987272621509
5088,0.03264970783842107
11482,0.032571175290786736
29558,0.03244546847835438
35108,0.032425312403195794
16413,0.03239672830478782
29247,0.032361354261631226
16376,0.032336313472356465
26424,0.03232150788275456
36255,0.032224403480827404
38561,0.03213551707587143
41732,0.032109899212447
15800,0.032072839854458086
1469,0.03206176741716489
25285,0.03194689804665812
5299,0.03187794654566841
2067,0.03183981544561285
13220,0.03176296402422803
10060,0.031517521295251164
11386,0.03147349058777726
20579,0.03144836812461039
12326,0.031439202470047896
2422,0.03138756243547211
28779,0.03137008242985086
398,0.03136693894378134
651,0.03135559934723814
1411,0.031344769239905104
8259,0.031341039991702464
4951,0.031324614808354856
648,0.03126996858744835
28057,0.03125723646043191
1303,0.03124485704462539
4842,0.03120533116119158
3391,0.03117865981127956
7652,0.03111910400493911
802,0.030957293910718765
36860,0.030935820697921813
4480,0.030910367757527996
8051,0.030895545648652135
401,0.0308511967294614
7655,0.03078589125305232
13306,0.030784164240096317
20942,0.030779333965979868
11435,0.030775802376553113
8742,0.03076534735086529
5715,0.030729094842981173
17637,0.030704017905308776
7724,0.030678483734839026
816,0.030672868541362176
6256,0.03067114909135382
7136,0.030669384902520223
1960,0.030660318125794315
4702,0.0306102412694024
4791,0.030562676325918935
284,0.03053419990178178
11291,0.03049072472293009
9682,0.030490151491662874
1121,0.030446102828986705
4047,0.03037456312674073
4132,0.030341750565958253
28156,0.03032223565191677
6962,0.03031867030964386
135,0.030234015676492976
5642,0.030189968659072787
12052,0.030177063633337886
1513,0.030162519735589588
16350,0.03013423631767659
27890,0.03013321192544169
9963,0.030090003316416633
56,0.030086495482416282
4415,0.03008354709908262
27981,0.030038012030298558
7726,0.030027125581914234
6533,0.030025023021098152
28311,0.030014945792120017
24835,0.02997988208172178
41893,0.029886733013250816
115,0.0297940410003647
3253,0.02978761345940618
3621,0.029775999798696915
7597,0.029769592534286488
23222,0.02975725581699401
5563,0.029649998206546617
14050,0.029579931211934998
42714,0.02957489549264389
13937,0.02954425570427882
13771,0.029521149395352185
27864,0.029508309856852283
16541,0.02948997077553047
11890,0.02948134616323236
4805,0.029458746031014872
23953,0.029457431980892637
3739,0.029440839122070822
6882,0.029419029861346674
11311,0.029360500766322184
33822,0.02935684839648957
11905,0.029311896633886586
23686,0.02930101567638539
15718,0.029277124903411295
13303,0.029273769316523788
31876,0.029239971092095047
4378,0.029196843779614054
7374,0.029105795718177226
23231,0.029103771748067386
1551,0.02903789029928634
16879,0.029006413004229223
4105,0.028937184221270455
34585,0.02893326653531074
28112,0.028918558561462596
26686,0.028906269898994873
3853,0.028902576022391185
14047,0.028893940785185115
27744,0.0288484561203045
34389,0.0287204463287669
21417,0.028712160216536258
7998,0.028699311186325637
7610,0.028682270625644764
12660,0.02867162661648007
5321,0.028670992839650893
7318,0.028616360899543832
10986,0.02857391362089339
2029,0.02855083345690859
2113,0.028527416038587865
27575,0.028409021668476763
7142,0.028405466116996174
14637,0.02837402791038823
821,0.02836259451955828
19367,0.0283615433170277
15131,0.028361522057564627
5411,0.028315241583464795
20525,0.02829287076194782
975,0.028235738998781037
16566,0.028187412122558264
2389,0.028186695599822998
4033,0.028173149548282587
40456,0.028161196427313073
9504,0.028107236905564395
12296,0.028105420158761395
12643,0.02808258510270139
6546,0.028061988879893845
33257,0.028056593304960284
8970,0.028012285386934
1987,0.027987250717802174
40919,0.027972033304164638
12733,0.02794370324867507
12579,0.02793875640975288
7492,0.027928233147929516
7049,0.02792514086196491
9837,0.027880154048112036
24890,0.02787745770190664
11471,0.02787281912985794
140,0.02785615906159571
5648,0.027850705947235054
19369,0.027838453396174075
22487,0.0277980763269723
21546,0.02775114809519104
14458,0.027729780782796875
11287,0.02769135324436906
10766,0.027683332923136204
12549,0.027681846938640748
9805,0.027610862608515502
2666,0.02750376359978605
13852,0.02749670301770013
15934,0.02748637544301089
4323,0.027444087537037073
27518,0.02736429382182211
32421,0.027345909590827045
1961,0.027344382289169612
3306,0.02732397174225947
38598,0.027295916333632236
1393,0.02728982001313046
9591,0.027284734439626927
10261,0.027284056094327717
9239,0.027272787666675635
25534,0.027272553468273654
26245,0.02726964968675579
8557,0.02726457605082466
3386,0.027262561581295756
6878,0.027223502503174162
15375,0.02715230343031197
19067,0.027141317781873543
39612,0.027119435499596306
42990,0.02710857886194311
1862,0.027096346020521262
632,0.027090890422079888
13523,0.027053079038764326
2531,0.027042700641056638
43264,0.027026499674850202
7026,0.027020167582071115
12345,0.027015056897719915
36450,0.026997709211166628
39073,0.026992417749031758
21554,0.026983860715868956
13317,0.02698346071251901
4922,0.026957657615753246
17184,0.02692966677019958
10672,0.02689971449193727
21186,0.026886387787169792
3928,0.026881479683974377
2822,0.026838797639465027
13512,0.026838410782021187
38288,0.026828140576192077
10429,0.026816084338508576
13299,0.026805624429929526
5254,0.026749800091634555
39785,0.026746397113072615
34648,0.026729084588560756
11121,0.02672189994536688
4493,0.02671487327324364
9611,0.026618057605505663
7368,0.02656666262482711
5789,0.026552857362111982
22710,0.026547321707926248
4107,0.02653900630634126
27049,0.026533970824512008
5643,0.026533497960223893
10497,0.026515293560573416
40606,0.02650322348868352
5758,0.02645061881760063
41224,0.026431441154293616
594,0.026430505599673484
42594,0.026415311259915423
13029,0.026410701107393034
38444,0.026375647671662204
2117,0.026280058340893753
37718,0.026278320262506996
3923,0.02627292740206674
3414,0.026265420695982353
43091,0.02625235474928132
30092,0.02621840764440855
38208,0.026161178332717028
25407,0.026077527256441038
27063,0.026077299708966755
38187,0.02606524936944903
10067,0.026039662042599707
38522,0.026038461386170695
40298,0.02603536632480001
15668,0.02600185185633952
4515,0.025954062007878025
11041,0.02595366573399706
9629,0.025952908038616877
3756,0.025943925116018892
6121,0.025912262668923346
1938,0.02589861724363388
12573,0.025876020073544396
42022,0.0258691782162517
31383,0.025849423212534247
916,0.02580777231312529
2030,0.025791536869886982
11484,0.025791053658484817
7155,0.02575338332654309
11186,0.02573319146257438
8521,0.025677657038757882
10407,0.025654969135828456
9465,0.025625768902277333
21247,0.02562555225575603
7078,0.025620143906336077
3963,0.02558243574686478
1920,0.025580071139031886
17214,0.025576126446691622
326,0.025565542519904717
749,0.025565001013897446
32496,0.025552629720462603
25347,0.025529535158532478
29020,0.025513603522958526
31453,0.025507482713978093
33102,0.025450456732274866
889,0.02543870110319712
33270,0.025401522135959597
14572,0.025383996502041005
10398,0.025367158758649325
37896,0.025358743503766837
12638,0.025342710859040732
11234,0.025295624155425654
8916,0.025292657669774482
14046,0.025262559729798156
25794,0.025251055904737908
6744,0.025224916686443305
37249,0.02521408247776617
25014,0.025210517870813322
23479,0.025194395263183247
15857,0.02519236967592161
37313,0.025180204157364904
34993,0.025176337440211118
34687,0.025117989864555816
9114,0.025105721683165185
3352,0.02506420442144886
25490,0.02505837621639871
39912,0.02505228739448794
3796,0.02504772688871746
8895,0.025033861641794
10316,0.025032305158847665
1257,0.025030886029656967
12350,0.02499782825821716
32507,0.024965952736764607
2037,0.024950943470486393
4217,0.024948361813054928
41047,0.024947363836572208
6245,0.02491208217084303
33516,0.02490834143738778
4394,0.024904493318295386
6570,0.024876912568006337
9976,0.024869588965751768
11236,0.024856375722146856
1422,0.024852206998118815
0,0.02484693624273557
1925,0.02483647746497135
2420,0.02482872949509895
5269,0.024822013567946947
13527,0.024807860634993736
33651,0.024792363071420936
27160,0.024769008295298326
28926,0.02475912589377932
21891,0.024722074984275023
35955,0.024685727642038913
21534,0.02467455819494659
42343,0.024673495510055096
16275,0.024606302675009118
26298,0.02459992097864913
6942,0.0245769247488804
22592,0.024572158180072943
4211,0.024516888664420006
4831,0.024433033483798203
13367,0.02442202428860338
25177,0.02441356417826694
11071,0.02432712791355539
5076,0.024263185837064515
14399,0.024256309348549093
27768,0.024229445444942467
14566,0.02421868890932351
10282,0.02420468731871149
33946,0.0241984352403829
155,0.024182910272659383
263,0.02417438267717563
6239,0.024168789083732864
16405,0.024164438280085975
34934,0.024150885946206912
12264,0.024123902048079373
19392,0.024095919747134417
14651,0.024086273485824886
21457,0.02405122336468569
31919,0.02403555237818958
15911,0.02403312405167114
9431,0.02402163875939448
34257,0.024008602011654064
11598,0.024004475016269435
12671,0.024002900188004873
26800,0.024001747389783168
2233,0.023990146816269726
39771,0.02398234323509407
7474,0.023977646261569254
5718,0.023953455908125452
8545,0.023951176770176323
10349,0.02395112721832989
5763,0.023927227119196853
29114,0.023923838437355693
