sample_id,spectral_k5
ERR2209858,1
ERR2209859,3
ERR2209860,2
ERR2209861,2
ERR2209862,3
ERR2209863,3
ERR2209864,0
ERR2209865,2
ERR2209866,2
ERR2209867,2
ERR2209868,2
ERR2209869,3
ERR2209870,0
ERR2209871,1
ERR2209872,3
ERR2209873,4
ERR2209874,2
ERR2209875,3
ERR2209876,2
ERR2209877,4
ERR2209878,2
ERR2209879,2
ERR2209880,3
ERR2209881,3
ERR2209882,3
ERR2209883,1
ERR2209884,4
ERR2209885,0
ERR2209886,2
ERR2209887,2
ERR2209888,0
ERR2209889,4
ERR2209890,2
ERR2209891,3
ERR2209892,3
ERR2209893,1
ERR2209894,4
ERR2209895,1
ERR2209896,1
ERR2209897,1
ERR2209898,2
ERR2209899,2
ERR2209900,3
ERR2209901,3
ERR2209902,4
ERR2209903,4
ERR2209904,3
ERR2209905,0
ERR2209906,0
ERR2209907,0
ERR2209908,1
ERR2209909,2
ERR2209910,1
ERR2209911,0
ERR2209912,0
ERR2209913,0
ERR2209914,0
ERR2209915,3
ERR2209916,0
ERR2209917,3
ERR2209918,4
ERR2209919,0
ERR2209920,0
ERR2209921,3
ERR2209922,0
ERR2209923,0
ERR2209924,0
ERR2209925,2
ERR2209926,0
ERR2209927,0
ERR2209928,0
ERR2209929,4
ERR2209930,0
ERR2209931,0
ERR2209932,0
