fold,accuracy,f1_macro
1,0.8333333333333334,0.30303030303030304
2,0.8333333333333334,0.30303030303030304
3,0.8333333333333334,0.30303030303030304
4,0.6666666666666666,0.26666666666666666
5,0.75,0.2857142857142857
