gene,importance
ENSG00000197157,0.0038505809397989302
ENSG00000118217,0.003344066892944116
ENSG00000150687,0.0027870318151388333
ENSG00000184897,0.0026764161748981555
ENSG00000146426,0.0026354653402907665
ENSG00000117899,0.0025235944013738878
ENSG00000104067,0.002479081671433176
ENSG00000152518,0.00246797186550209
ENSG00000179820,0.0024645973287641485
ENSG00000143614,0.0024085604625534085
ENSG00000091513,0.002390166139955944
ENSG00000109971,0.0023565578718419493
ENSG00000185825,0.0023285262469662274
ENSG00000152931,0.002297978872343392
ENSG00000211675,0.002291250736134793
ENSG00000198888,0.002286192621289678
ENSG00000127528,0.0022370313210715188
ENSG00000179344,0.0021915564091716916
ENSG00000182326,0.0021615230205174686
ENSG00000198763,0.0021592305430879256
ENSG00000276023,0.002157644088272608
ENSG00000126698,0.002093525215200577
ENSG00000128016,0.002054307408188156
ENSG00000242086,0.0020539157265801245
ENSG00000007312,0.0019944646132457936
ENSG00000086061,0.0019348604657242834
ENSG00000131871,0.0019129134878292597
ENSG00000146830,0.001911708983102694
ENSG00000134333,0.001898524236671447
ENSG00000168264,0.001885711367036541
ENSG00000099260,0.001875267588791276
ENSG00000182718,0.00183606374637098
ENSG00000185070,0.0018325756848961675
ENSG00000054598,0.00181526127478842
ENSG00000166164,0.0018112608489100311
ENSG00000187193,0.0017833347094806768
ENSG00000179104,0.001781625591787996
ENSG00000168675,0.0017602930664295346
ENSG00000173530,0.0017512880435046493
ENSG00000140694,0.0017447187938942248
ENSG00000039560,0.0017243546117258054
ENSG00000109814,0.0017200997999620097
ENSG00000133800,0.0016925837933884785
ENSG00000101361,0.0016804707775761245
ENSG00000134910,0.0016378190996653966
ENSG00000108671,0.0016307354125944132
ENSG00000122566,0.0016285788687564278
ENSG00000197256,0.0015988960559930035
ENSG00000113070,0.001562980968872621
ENSG00000168172,0.0015568442737396346
ENSG00000100376,0.0015275717319181267
ENSG00000148908,0.0015045215157443175
ENSG00000198843,0.0014826091154785013
ENSG00000122176,0.001453584831603239
ENSG00000176783,0.0014491480548244713
ENSG00000177889,0.0014333503684416723
ENSG00000099341,0.001408276035496334
ENSG00000138107,0.0014053491381065667
ENSG00000013588,0.0013765621729024823
ENSG00000136826,0.001371788688651161
ENSG00000149480,0.0013670149212664509
ENSG00000115107,0.0013544377665598599
ENSG00000058262,0.001346682572569649
ENSG00000151748,0.0013425944713689898
ENSG00000137393,0.0013369947174076027
ENSG00000146463,0.0013309033673617808
ENSG00000198563,0.0013183287530625569
ENSG00000067064,0.0013149028331271753
ENSG00000132383,0.0012917142644926932
ENSG00000131966,0.0012784437401640678
ENSG00000173692,0.0012740704651814454
ENSG00000128309,0.0012653192366235196
ENSG00000198369,0.001263330422061102
ENSG00000185651,0.0012552785118885312
ENSG00000198848,0.0012513724170880218
ENSG00000149547,0.0012488878224750932
ENSG00000123358,0.0012396234450178828
ENSG00000071575,0.0012383950340941975
ENSG00000069011,0.00123577863095684
ENSG00000198408,0.0012335696943855943
ENSG00000113657,0.001233048915160264
ENSG00000177963,0.0012265489211100062
ENSG00000183779,0.001226402687228719
ENSG00000101193,0.0012150283364293784
ENSG00000147010,0.0012115441567942039
ENSG00000197912,0.0012115022399658895
ENSG00000148346,0.0012083099767315523
ENSG00000090376,0.0012079247821189726
ENSG00000213593,0.0012033886334419672
ENSG00000225733,0.0011980145891907898
ENSG00000143977,0.0011956829224152616
ENSG00000261713,0.0011947189471222558
ENSG00000136986,0.0011945030928221638
ENSG00000166411,0.001192262610141186
ENSG00000141736,0.001175570155839816
ENSG00000185532,0.0011742348865537257
ENSG00000118257,0.0011699558196669759
ENSG00000099875,0.001167741180065634
ENSG00000169855,0.0011661952201744048
ENSG00000204619,0.0011398488983451554
ENSG00000006016,0.001134424661308235
ENSG00000144810,0.001133310834289785
ENSG00000170242,0.0011308623397187697
ENSG00000113083,0.0011289537215472274
ENSG00000148175,0.001128037142493769
ENSG00000107562,0.0011278690253865226
ENSG00000173926,0.0011277957093257856
ENSG00000184203,0.0011270345783655938
ENSG00000211899,0.0011221712631361025
ENSG00000131669,0.0011212635498863018
ENSG00000146067,0.0011143604363884247
ENSG00000196937,0.0011131204101565927
ENSG00000198899,0.0011107705285556596
ENSG00000058091,0.001104224188829666
ENSG00000154240,0.0010969363428445494
ENSG00000204642,0.0010960384680346338
ENSG00000111817,0.001095823285263172
ENSG00000140464,0.0010950934435752246
ENSG00000165119,0.0010919330036035994
ENSG00000064309,0.0010887347247865763
ENSG00000119326,0.0010854273321564418
ENSG00000054219,0.0010817582992088356
ENSG00000175826,0.0010761757083805115
ENSG00000168461,0.0010714285714285713
ENSG00000028528,0.001068969735308139
ENSG00000008513,0.0010679778833435362
ENSG00000185009,0.0010663645446245876
ENSG00000167004,0.0010609163179544417
ENSG00000154727,0.0010553880976814152
ENSG00000183955,0.0010538927295993474
ENSG00000115526,0.0010492161745967793
