fold,accuracy,f1_macro
1,0.8333333333333334,0.45454545454545453
2,0.8333333333333334,0.45454545454545453
3,0.9166666666666666,0.8095238095238095
4,0.8333333333333334,0.7
5,0.75,0.42857142857142855
