fold,accuracy,f1_macro
1,0.9166666666666666,0.6507936507936508
2,0.75,0.2857142857142857
3,0.9166666666666666,0.871345029239766
4,0.9166666666666666,0.871345029239766
5,0.9166666666666666,0.7368421052631579
