Genes_A,Genes_B,Chi2,p_value,DoF
10,100,116.16013189321723,8.148924591764524e-21,9
10,1000,87.29295935545935,5.677530480824552e-15,9
10,10000,20.583686086764907,0.014632839770474582,9
100,1000,125.75223023992204,8.846335652996124e-23,9
100,10000,47.353069618197566,3.37286842952059e-07,9
1000,10000,31.430357903059054,0.00024968367244154716,9
